tm,stability,entry,proteinname
44.16320161,Medium,P17649,4-aminobutyrate aminotransferase (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase)
58.05591508,Medium,P19881,4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)
52.08358604,Medium,P32905,40S ribosomal protein S0-A (Nucleic acid-binding protein NAB1A)
48.1245002,Medium,P23248,40S ribosomal protein S1-B (RP10B)
41.52134271,Unstable,P46784,40S ribosomal protein S10-B
53.90598586,Medium,P0CX47,40S ribosomal protein S11-A (RP41) (S18) (YS12)
56.58248159,Medium,P48589,40S ribosomal protein S12
54.11580135,Medium,P39516,40S ribosomal protein S14-B (RP59B)
54.1948087,Medium,Q01855,40S ribosomal protein S15 (RIG protein) (RP52) (S21) (YS21)
53.0042749,Medium,P0CX51,40S ribosomal protein S16-A (RP61R)
49.21203029,Medium,P02407,40S ribosomal protein S17-A (RP51A)
51.28928004,Medium,P0CX55,40S ribosomal protein S18-A
51.18768532,Medium,P07281,40S ribosomal protein S19-B (RP55B) (S16a) (YS16B)
49.90188729,Medium,P25443,40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (YS5)
51.84761704,Medium,P38701,40S ribosomal protein S20
49.128949,Medium,P0C0V8,40S ribosomal protein S21-A (S26) (YS25)
50.21400173,Medium,Q3E754,40S ribosomal protein S21-B (S26) (YS25)
51.28142766,Medium,P0C0W1,40S ribosomal protein S22-A (RP50) (S24) (YP58) (YS22)
55.62670397,Medium,P0CX29,40S ribosomal protein S23-A (RP37) (S28) (YS14)
52.84988057,Medium,P0CX31,40S ribosomal protein S24-A (RP50)
42.97702872,Unstable,P0C0T4,40S ribosomal protein S25-B (RP45) (S31) (YS23)
50.62876427,Medium,P39938,40S ribosomal protein S26-A
53.69781322,Medium,P38711,40S ribosomal protein S27-B (RP61) (YS20)
50.98041648,Medium,Q3E7X9,40S ribosomal protein S28-A (S33) (YS27)
53.0857027,Medium,P41057,40S ribosomal protein S29-A (S36) (YS29)
53.2615519,Medium,P41058,40S ribosomal protein S29-B (S36) (YS29)
49.96034321,Medium,P05750,40S ribosomal protein S3 (RP13) (YS3)
49.47277717,Medium,P0CX33,40S ribosomal protein S30-A
50.22456028,Medium,P0CX35,40S ribosomal protein S4-A (RP5) (S7) (YS6)
50.69782798,Medium,P26783,40S ribosomal protein S5 (RP14) (S2) (YS8)
51.89158469,Medium,P0CX37,40S ribosomal protein S6-A (RP9) (S10) (YS4)
51.12931683,Medium,P26786,40S ribosomal protein S7-A (RP30) (RP40)
52.20936685,Medium,P48164,40S ribosomal protein S7-B
49.71397584,Medium,P0CX39,40S ribosomal protein S8-A (RP19) (S14) (YS9)
42.44430479,Unstable,O13516,40S ribosomal protein S9-A (RP21) (S13) (YP28) (YS11)
43.15063028,Unstable,P09950,"5-aminolevulinate synthase, mitochondrial (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)"
67.70790703,Stable,P05694,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Delta-P8 protein) (Methionine synthase, vitamin-B12 independent isozyme)"
52.66712278,Medium,P28273,5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)
50.84831208,Medium,P53163,"54S ribosomal protein L12, mitochondrial (Mitochondrial-nucleoid protein 1)"
44.21029012,Medium,P38720,"6-phosphogluconate dehydrogenase, decarboxylating 1 (EC 1.1.1.44)"
50.78422676,Medium,P38858,6-phosphogluconolactonase 3 (6PGL) (EC 3.1.1.31)
49.79549422,Medium,P50861,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"
46.93574478,Medium,P05318,60S acidic ribosomal protein P1-alpha (P1A) (A1) (L12EIIA) (YP1alpha)
68.10508117,Stable,P10622,60S acidic ribosomal protein P1-beta (P1B) (Ax) (L12EIIB) (L44') (YP1beta)
48.15913927,Medium,P05319,60S acidic ribosomal protein P2-alpha (P2A) (A2) (L12EIB) (L44) (YP2alpha)
50.63682462,Medium,P02400,60S acidic ribosomal protein P2-beta (P2B) (L12EIA) (L45) (YL44C) (YP2beta) (YPA1)
62.17939575,Stable,P38861,60S ribosomal export protein NMD3 (Nonsense-mediated mRNA decay protein 3)
54.10197284,Medium,P0CX43,60S ribosomal protein L1-A (L10a)
51.50262828,Medium,P41805,60S ribosomal protein L10 (L9) (Ubiquinol-cytochrome C reductase complex subunit VI-requiring protein)
56.49620842,Medium,P0C0W9,60S ribosomal protein L11-A (L16) (RP39) (YL22)
51.40644677,Medium,P0CX53,60S ribosomal protein L12-A (L15) (YL23)
55.55872331,Medium,Q12690,60S ribosomal protein L13-A
49.42023916,Medium,P05748,60S ribosomal protein L15-A (L13) (RP15R) (YL10) (YP18)
54.30583615,Medium,P26784,60S ribosomal protein L16-A (L13a) (L21) (RP22) (YL15)
56.93695463,Medium,P26785,60S ribosomal protein L16-B (L21) (RP23) (YL15)
56.14741452,Medium,P05740,60S ribosomal protein L17-A (L20A) (YL17)
57.0384691,Medium,P46990,60S ribosomal protein L17-B (L20) (YL17)
56.8396782,Medium,P0CX49,60S ribosomal protein L18-A (RP28)
54.92180348,Medium,P0CX82,60S ribosomal protein L19-A (L23) (RP15L) (RP33) (YL14)
54.13132402,Medium,P0CX45,60S ribosomal protein L2-A (L5) (RP8) (YL6)
45.00755292,Medium,P0CX23,60S ribosomal protein L20-A (L18a)
51.86054148,Medium,Q02753,60S ribosomal protein L21-A
54.86623928,Medium,P05749,60S ribosomal protein L22-A (L1c) (RP4) (YL31)
54.54669305,Medium,P0CX41,60S ribosomal protein L23-A (L17a) (YL32)
53.74132152,Medium,P04449,60S ribosomal protein L24-A (L30) (RP29) (YL21)
51.73777938,Medium,P04456,60S ribosomal protein L25 (RP16L) (YL25) (YP42')
56.79791025,Medium,P05743,60S ribosomal protein L26-A (L33) (YL33)
56.33243398,Medium,P53221,60S ribosomal protein L26-B (L33) (YL33)
55.98351618,Medium,P0C2H6,60S ribosomal protein L27-A
53.24076398,Medium,P02406,60S ribosomal protein L28 (L27a) (L29) (RP44) (RP62) (YL24)
49.42111091,Medium,P14126,60S ribosomal protein L3 (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1)
56.97884994,Medium,P14120,60S ribosomal protein L30 (L32) (RP73) (YL38)
59.76787117,Stable,P38061,60S ribosomal protein L32
57.03574986,Medium,P87262,60S ribosomal protein L34-A
54.44950916,Medium,P0CX84,60S ribosomal protein L35-A
51.57262201,Medium,P05745,60S ribosomal protein L36-A (L39) (YL39)
51.68321649,Medium,P51402,60S ribosomal protein L37-B (L43) (YL35) (YP55)
56.82445012,Medium,P49167,60S ribosomal protein L38
52.22125978,Medium,P04650,60S ribosomal protein L39 (L46) (YL40)
55.87654817,Medium,P10664,60S ribosomal protein L4-A (L2) (RP2) (YL2)
55.88928626,Medium,P0CX27,60S ribosomal protein L42-A (L41) (YL27) (YP44)
55.2023861,Medium,P0CX25,60S ribosomal protein L43-A (L37a) (YL35)
56.71580191,Medium,P26321,60S ribosomal protein L5 (L1) (L1a) (Ribosomal 5S RNA-binding protein) (YL3)
55.77645912,Medium,Q02326,60S ribosomal protein L6-A (L17) (RP18) (YL16)
54.27286226,Medium,P05739,60S ribosomal protein L6-B (L17) (RP18) (YL16)
55.80329678,Medium,P05737,60S ribosomal protein L7-A (L6) (RP11) (YL8)
51.88990876,Medium,P17076,60S ribosomal protein L8-A (L4) (L4-2) (L7a-1) (Maintenance of killer protein 7) (RP6) (YL5)
51.48778737,Medium,P29453,60S ribosomal protein L8-B (L4) (L4-1) (RP6) (YL5)
55.89390032,Medium,P05738,60S ribosomal protein L9-A (L8) (RP24) (YL11)
55.77325261,Medium,P51401,60S ribosomal protein L9-B (L8) (RP24) (YL11)
47.21655746,Medium,P16474,78 kDa glucose-regulated protein homolog (GRP-78) (Immunoglobulin heavy chain-binding protein homolog) (BiP)
43.87862721,Unstable,Q00955,Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]
51.24036305,Medium,P32316,Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)
52.10026103,Medium,P52910,Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)
50.40737394,Medium,P19414,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)"
51.87451042,Medium,P60010,Actin
55.7944732,Medium,P46680,Actin-interacting protein 1
50.56808035,Medium,P38328,Actin-related protein 2/3 complex subunit 1 (Arp2/3 complex 41 kDa subunit) (p41-ARC)
52.37424467,Medium,P53731,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)
46.71547592,Medium,P33204,Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa) (p20-ARC)
45.7665143,Medium,Q12406,Actin-related protein 7 (Actin-like protein ARP7) (Chromatin structure-remodeling complex protein ARP7) (SWI/SNF complex component ARP7)
46.18728543,Medium,P31787,Acyl-CoA-binding protein (ACBP)
54.61935427,Medium,P47143,Adenosine kinase (EC 2.7.1.20)
44.51109711,Medium,P39954,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)
41.891178,Unstable,P07170,Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)
49.25247837,Medium,Q12055,Adenylate kinase isoenzyme 6 homolog FAP7 (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase) (POS9-activating factor 7)
53.16887943,Medium,Q05911,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)
52.17614374,Medium,P80210,Adenylosuccinate synthetase (AMPSase) (AS-synthetase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
51.31588073,Medium,P17555,Adenylyl cyclase-associated protein (CAP)
47.92478313,Medium,P11076,ADP-ribosylation factor 1
46.28026611,Medium,P35197,ADP-ribosylation factor GTPase-activating protein GCS1 (ARF GAP GCS1)
47.75045182,Medium,Q06336,"ADP-ribosylation factor-binding protein GGA1 (Golgi-localized, gamma ear-containing, ARF-binding protein 1)"
57.33698797,Medium,P38817,"ADP-ribosylation factor-binding protein GGA2 (Golgi-localized, gamma ear-containing, ARF-binding protein 2)"
60.86920628,Stable,Q12184,"Adrenodoxin homolog, mitochondrial (Mitochondrial ferredoxin)"
42.68714744,Unstable,P40825,"Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)"
51.59207336,Medium,P37898,Alanine/arginine aminopeptidase (EC 3.4.11.-)
41.31786312,Unstable,P00330,Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)
61.63048456,Stable,P07246,"Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (YADH-3)"
50.38441145,Medium,P10127,Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)
48.678059,Medium,P54114,Aldehyde dehydrogenase [NAD(P)+] 2 (EC 1.2.1.3)
56.47587161,Medium,P40047,"Aldehyde dehydrogenase 5, mitochondrial (EC 1.2.1.5)"
56.09257235,Medium,P27810,"Alpha-1,2 mannosyltransferase KTR1 (EC 2.4.1.-)"
46.31132886,Medium,P38069,"Alpha-1,2-mannosyltransferase MNN2 (EC 2.4.1.-) (Calcium resistance and vanadate sensitivity protein 4) (Mannan synthesis protein MNN2)"
51.40968672,Medium,Q00764,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)"
47.44482357,Medium,P38885,"Altered inheritance of mitochondria protein 46, mitochondrial (Found in mitochondrial proteome protein 34)"
52.63982297,Medium,Q07716,Altered inheritance of mitochondria protein 6
60.06975535,Stable,P40053,"Altered inheritance of mitochondria protein 9, mitochondrial (Found in mitochondrial proteome protein 29)"
47.04718146,Medium,P48015,"Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT) (Glycine decarboxylase complex subunit T)"
54.27753668,Medium,P32454,"Aminopeptidase 2, mitochondrial (AP-II) (Aminopeptidase II) (EC 3.4.11.-) (YscII)"
47.33408279,Medium,P37302,Aminopeptidase Y (EC 3.4.11.15)
48.20798773,Medium,P00899,Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)
52.68782229,Medium,P00812,Arginase (EC 3.5.3.1)
58.33070097,Medium,Q04728,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial (Extracellular mutant protein 40) [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]"
49.64892242,Medium,Q05506,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)"
59.24312344,Stable,P38714,"Arginine--tRNA ligase, mitochondrial (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)"
49.71070385,Medium,P04076,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
43.35589864,Unstable,P22768,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
53.38051429,Medium,P38840,Aromatic amino acid aminotransferase 2 (EC 2.6.1.57) (Aromatic amino acid aminotransferase II) (Aromatic amino acid-requiring protein 9) (Kynurenine aminotransferase I) (KAT I) (EC 2.6.1.7)
63.81454571,Stable,P53090,Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39) (2-aminoadipate transaminase) (Alpha-aminoadipate aminotransferase) (AadAT) (Aromatic amino acid aminotransferase 1) (EC 2.6.1.57) (Aromatic amino acid aminotransferase I) (Aromatic amino acid-requiring protein 8)
46.12947003,Medium,P49089,Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1)
48.53551618,Medium,P49090,Asparagine synthetase [glutamine-hydrolyzing] 2 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 2)
46.28910098,Medium,P38707,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)"
63.11162331,Stable,P23542,"Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)"
46.19682292,Medium,P04802,"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)"
44.92920593,Medium,P13663,Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)
48.07709238,Medium,P37267,Assembly factor CBP4 (Cytochrome b mRNA-processing protein 4)
55.21035697,Medium,P00498,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)
50.71293309,Medium,P09457,"ATP synthase subunit 5, mitochondrial (ATP synthase chain 5) (Oligomycin sensitivity conferral protein) (OSCP)"
43.79550924,Unstable,P07251,"ATP synthase subunit alpha, mitochondrial"
53.23386449,Medium,P00830,"ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)"
49.0417065,Medium,P30902,"ATP synthase subunit d, mitochondrial"
52.80864418,Medium,P38077,"ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)"
54.13436748,Medium,P36059,ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)
53.25635506,Medium,P16861,ATP-dependent 6-phosphofructokinase subunit alpha (EC 2.7.1.11) (ATP-dependent 6-phosphofructokinase) (ATP-PFK) (Phosphofructokinase 1) (Phosphohexokinase)
45.36622099,Medium,P32386,ATP-dependent bile acid permease
45.06700384,Medium,P15108,ATP-dependent molecular chaperone HSC82 (82 kDa heat shock cognate protein) (Heat shock protein Hsp90 constitutive isoform)
47.77089839,Medium,P02829,ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)
42.94998147,Unstable,P06634,ATP-dependent RNA helicase DED1 (EC 3.6.4.13) (DEAD box protein 1)
60.58087314,Stable,P47047,ATP-dependent RNA helicase DOB1 (EC 3.6.4.13) (mRNA transport regulator MTR4)
50.28716957,Medium,P10081,ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)
66.57598037,Stable,P32794,ATPase family gene 2 protein
45.11866761,Medium,Q12154,ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)
59.90011989,Stable,P54113,Bifunctional purine biosynthesis protein ADE16 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]
61.57355119,Stable,P38009,Bifunctional purine biosynthesis protein ADE17 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]
52.31313827,Medium,P07244,"Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]"
41.45369924,Unstable,P48445,Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]
43.02086494,Unstable,P47176,"Branched-chain-amino-acid aminotransferase, cytosolic (BCAT) (EC 2.6.1.42) (Protein TWT2)"
47.63039502,Medium,Q12040,Broad-specificity phosphatase YOR283W (EC 3.1.3.-)
46.0776551,Medium,P07245,"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]"
47.09463651,Medium,P09440,"C-1-tetrahydrofolate synthase, mitochondrial (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]"
40.27744964,Unstable,P06787,Calmodulin (CaM)
47.85692403,Medium,P03965,"Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, ammonia chain)"
53.08280142,Medium,P27614,Carboxypeptidase S (EC 3.4.17.4) (GLY-X carboxypeptidase) (YSCS)
60.95983695,Stable,P00729,Carboxypeptidase Y (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)
51.12110834,Medium,P14306,Carboxypeptidase Y inhibitor (CPY inhibitor) (CDC25 suppressor 1) (I(C)) (Ic) (Protein DKA1) (Protein NSP1)
51.61544516,Medium,P06115,Catalase T (EC 1.11.1.6)
42.7861639,Unstable,P25342,Cell division control protein 10
50.14668964,Medium,P32457,Cell division control protein 3
57.04966863,Medium,P47001,Cell wall mannoprotein CIS3 (Covalently-linked cell wall protein 5/11) (Protein with internal repeats 4) (Soluble cell wall protein 8)
52.32724847,Medium,P38248,Cell wall protein ECM33 (Extracellular mutant protein 33)
48.77229623,Medium,P46992,Cell wall protein YJL171C
55.46205247,Medium,P09232,Cerevisin (EC 3.4.21.48) (Proteinase YSCB) (Vacuolar protease B) (PrB)
52.21505725,Medium,Q12114,Chitin biosynthesis protein CHS5 (Protein CAL3)
47.98893998,Medium,P28777,Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
49.83334586,Medium,P00890,"Citrate synthase, mitochondrial (EC 2.3.3.1)"
53.88575294,Medium,P38856,Clathrin coat assembly protein AP180A
44.01004067,Medium,P22137,Clathrin heavy chain
56.63407432,Medium,P17891,Clathrin light chain (CLC)
54.5480937,Medium,P28707,Co-chaperone protein SBA1
52.53182873,Medium,P53622,Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (Retrieval from endoplasmic reticulum protein 1) (Secretory protein 22) (Suppressor of osmo-sensitivity 1)
51.22571332,Medium,P41810,Coatomer subunit beta (Beta-coat protein) (Beta-COP)
66.93964192,Stable,P41811,Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP)
48.11838486,Medium,P40509,Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)
43.20443171,Unstable,P32074,Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)
62.41560346,Stable,Q03048,Cofilin (Actin-depolymerizing factor 1)
46.31080775,Medium,O13547,Covalently-linked cell wall protein 14 (Inner cell wall protein)
53.99082279,Medium,P38845,Cruciform DNA-recognizing protein 1 [Cleaved into: CRP1 short N-terminal subpeptide; CRP1 short C-terminal subpeptide]
49.66723782,Medium,P38627,CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2)
52.9522636,Medium,P43616,Cys-Gly metallodipeptidase DUG1 (EC 3.4.13.-) (Deficient in utilization of glutathione protein 1) (GSH degradosomal complex subunit DUG1)
53.89578775,Medium,P53101,Cystathionine beta-lyase (CBL) (EC 4.4.1.8) (Beta-cystathionase) (Cysteine lyase) (Sulfur transfer protein 3)
50.67114997,Medium,P32582,Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase) (Sulfur transfer protein 4)
67.03858415,Stable,P31373,Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)
46.56721428,Medium,Q01532,"Cysteine proteinase 1, mitochondrial (EC 3.4.22.40) (Bleomycin hydrolase) (BLM hydrolase) (Homocysteine-thiolactonase) (HTLase) (Hcy-thiolactonase) (Leucine aminopeptidase 3) (Y3)"
52.69192959,Medium,P53852,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)
57.94036128,Medium,P07256,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)"
52.36673357,Medium,P37299,Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 8.5 kDa protein)
48.66778021,Medium,P00044,Cytochrome c iso-1
54.41641674,Medium,P00427,"Cytochrome c oxidase subunit 6, mitochondrial (EC 1.9.3.1) (Cytochrome c oxidase polypeptide VI)"
43.18319167,Unstable,P32799,"Cytochrome c oxidase subunit 6A, mitochondrial (EC 1.9.3.1) (Cytochrome c oxidase polypeptide VIa)"
50.28029872,Medium,P38115,D-arabinose dehydrogenase [NAD(P)+] heavy chain (EC 1.1.1.117) (AKR3C)
